Measurement,Azimuth,Elevation,Frequency,Magnitude
0,0.0,-45.0,0.0,-25.87475101618296
0,0.0,-45.0,93.75,-19.00296621588641
0,0.0,-45.0,234.375,-11.611127848067142
0,0.0,-45.0,375.0,-10.93954587132473
0,0.0,-45.0,609.375,-8.293537352413558
0,0.0,-45.0,2015.625,-9.391882852827882
0,0.0,-45.0,2203.125,-13.36679046613569
0,0.0,-45.0,2531.25,-7.779078106897882
0,0.0,-45.0,2718.75,-5.617120052524555
0,0.0,-45.0,3656.25,-1.4414436201589047
0,0.0,-45.0,5109.375,-13.615872570842937
0,0.0,-45.0,5390.625,-13.686509363351155
0,0.0,-45.0,6375.0,-7.825135550422524
0,0.0,-45.0,7312.5,-6.172403727552402
0,0.0,-45.0,8015.625,-18.49835531235599
0,0.0,-45.0,8203.125,-18.861507837514058
0,0.0,-45.0,8671.875,-22.907046817493868
0,0.0,-45.0,10593.75,-13.30856547932179
0,0.0,-45.0,11250.0,-8.413861434328282
0,0.0,-45.0,11812.5,-9.666531719272745
0,0.0,-45.0,12375.0,-19.88775377757833
0,0.0,-45.0,13078.125,-11.170718983130838
0,0.0,-45.0,14250.0,-9.531170448456384
0,0.0,-45.0,14671.875,-13.786949810452002
0,0.0,-45.0,15000.0,-23.044954233391806
0,0.0,-45.0,15140.625,-26.240144185614053
0,0.0,-45.0,15468.75,-20.297741416513272
0,0.0,-45.0,16406.25,-14.194703118213534
0,0.0,-45.0,17390.625,-13.806820513604201
0,0.0,-45.0,18937.5,-22.40194157847353
0,0.0,-45.0,19781.25,-42.026861937755235
0,0.0,-45.0,19968.75,-43.82215183558177
1,0.0,-30.0,0.0,-25.323154638767573
1,0.0,-30.0,140.625,-15.927164123864324
1,0.0,-30.0,281.25,-10.729890833504456
1,0.0,-30.0,1031.25,-9.332887895452203
1,0.0,-30.0,1406.25,-11.964434483042632
1,0.0,-30.0,2718.75,-3.565723268015482
1,0.0,-30.0,3609.375,-5.081874372246013
1,0.0,-30.0,4312.5,-3.7295118275900236
1,0.0,-30.0,5015.625,-11.653389120696332
1,0.0,-30.0,5296.875,-14.4995764763293
1,0.0,-30.0,6046.875,-8.578265235482005
1,0.0,-30.0,7078.125,-4.3775976742237335
1,0.0,-30.0,7593.75,-11.660849218824408
1,0.0,-30.0,8859.375,-15.82214327162835
1,0.0,-30.0,9703.125,-20.368040704398688
1,0.0,-30.0,10406.25,-5.021171631825422
1,0.0,-30.0,10828.125,-0.9201548230398631
1,0.0,-30.0,11578.125,-2.2224537316266595
1,0.0,-30.0,12187.5,-11.427962237927488
1,0.0,-30.0,12468.75,-23.96843300462431
1,0.0,-30.0,12562.5,-25.172165852510062
1,0.0,-30.0,12750.0,-18.363520246012584
1,0.0,-30.0,13078.125,-12.812896736133416
1,0.0,-30.0,14250.0,-8.860806914984249
1,0.0,-30.0,15843.75,-18.509420656151487
1,0.0,-30.0,16218.75,-18.253540112219486
1,0.0,-30.0,17109.375,-15.01375885700835
1,0.0,-30.0,18468.75,-12.167552069310844
1,0.0,-30.0,19125.0,-20.151906471287752
1,0.0,-30.0,19828.125,-26.438564537055576
1,0.0,-30.0,19968.75,-34.196231873399825
2,0.0,-20.0,0.0,-22.368609393968462
2,0.0,-20.0,93.75,-17.32863516845875
2,0.0,-20.0,234.375,-11.183375412828793
2,0.0,-20.0,468.75,-11.837510349280068
2,0.0,-20.0,843.75,-8.749945451287553
2,0.0,-20.0,1453.125,-12.843517496108047
2,0.0,-20.0,1593.75,-10.149711910603509
2,0.0,-20.0,1968.75,-4.517520974457438
2,0.0,-20.0,2484.375,-6.758095124565506
2,0.0,-20.0,2859.375,-4.452876281517631
2,0.0,-20.0,3187.5,-5.385118002791507
2,0.0,-20.0,3515.625,-3.384358158388544
2,0.0,-20.0,4031.25,-2.2475379894841114
2,0.0,-20.0,5296.875,-10.556217219131645
2,0.0,-20.0,6515.625,-10.231848712727055
2,0.0,-20.0,7218.75,-5.698262914665025
2,0.0,-20.0,8343.75,-16.7419202115449
2,0.0,-20.0,9468.75,-15.995033976805912
2,0.0,-20.0,10218.75,-5.396271036595575
2,0.0,-20.0,10687.5,-0.7041783011217535
2,0.0,-20.0,11437.5,-0.003739056193229654
2,0.0,-20.0,12046.875,-6.138568545403142
2,0.0,-20.0,12515.625,-20.63500055009137
2,0.0,-20.0,12562.5,-20.607536922340163
2,0.0,-20.0,12843.75,-14.360868645533445
2,0.0,-20.0,14437.5,-5.300795421791672
2,0.0,-20.0,15187.5,-7.020586813119582
2,0.0,-20.0,15843.75,-15.085812247885002
2,0.0,-20.0,15984.375,-15.042918156951387
2,0.0,-20.0,16406.25,-20.56275947916868
2,0.0,-20.0,16734.375,-16.147532116755247
2,0.0,-20.0,17062.5,-18.962852516687466
2,0.0,-20.0,17296.875,-15.014192669787949
2,0.0,-20.0,18468.75,-11.26215461701707
2,0.0,-20.0,18984.375,-11.792198965195418
2,0.0,-20.0,19593.75,-13.794840938044361
2,0.0,-20.0,19734.375,-19.456355015269406
2,0.0,-20.0,19828.125,-28.482566300064647
2,0.0,-20.0,19875.0,-38.11266491678185
2,0.0,-20.0,19921.875,-39.62887766684554
2,0.0,-20.0,19968.75,-33.79612820222357
3,0.0,-10.0,0.0,-21.19802433711554
3,0.0,-10.0,93.75,-16.58731774149878
3,0.0,-10.0,234.375,-11.433949981995362
3,0.0,-10.0,421.875,-12.256017719483179
3,0.0,-10.0,750.0,-9.164192346070033
3,0.0,-10.0,1078.125,-12.982817922122486
3,0.0,-10.0,1453.125,-8.338238443288272
3,0.0,-10.0,2015.625,-7.434743375639422
3,0.0,-10.0,2156.25,-4.843947870125676
3,0.0,-10.0,2531.25,-8.114583386165785
3,0.0,-10.0,3000.0,-3.3811151991568074
3,0.0,-10.0,3140.625,-4.276351350687347
3,0.0,-10.0,3421.875,-1.4857830839870132
3,0.0,-10.0,4359.375,-2.338010176379917
3,0.0,-10.0,5578.125,-9.760674513176772
3,0.0,-10.0,6093.75,-9.723824910353244
3,0.0,-10.0,7031.25,-14.784424507571845
3,0.0,-10.0,7312.5,-9.249374959384712
3,0.0,-10.0,7828.125,-10.714942671797536
3,0.0,-10.0,8437.5,-19.512618556193786
3,0.0,-10.0,9375.0,-16.036966802146708
3,0.0,-10.0,10500.0,-0.7557850193854667
3,0.0,-10.0,11109.375,1.1790203697848047
3,0.0,-10.0,11765.625,-0.9844732311750226
3,0.0,-10.0,12609.375,-14.702670176693454
3,0.0,-10.0,12843.75,-12.75150100542582
3,0.0,-10.0,13359.375,-14.911728556778362
3,0.0,-10.0,14437.5,-3.863825347285486
3,0.0,-10.0,14671.875,-2.9265753877738945
3,0.0,-10.0,15890.625,-13.235407782085582
3,0.0,-10.0,16875.0,-16.35664973536585
3,0.0,-10.0,18093.75,-14.812512270442737
3,0.0,-10.0,18421.875,-14.308239530074653
3,0.0,-10.0,18984.375,-21.422686633063538
3,0.0,-10.0,19265.625,-27.667529919440046
3,0.0,-10.0,19500.0,-31.98880010418522
3,0.0,-10.0,19781.25,-31.20598272378157
3,0.0,-10.0,19968.75,-31.743232415329317
4,0.0,0.0,0.0,-20.824151992396303
4,0.0,0.0,187.5,-12.686779749240504
4,0.0,0.0,750.0,-9.8990304548415
4,0.0,0.0,890.625,-12.57038107494514
4,0.0,0.0,1078.125,-10.52049057228258
4,0.0,0.0,1875.0,-7.023334903835752
4,0.0,0.0,2062.5,-9.039047020721897
4,0.0,0.0,2296.875,-5.723631662400022
4,0.0,0.0,2625.0,-7.544406879164225
4,0.0,0.0,2906.25,-1.5294286440184235
4,0.0,0.0,3093.75,-4.877184485400808
4,0.0,0.0,3281.25,-2.1504777882016963
4,0.0,0.0,3890.625,-0.5883800340146056
4,0.0,0.0,4828.125,-2.9444231693851037
4,0.0,0.0,6328.125,-12.417250881925945
4,0.0,0.0,6562.5,-10.977923100621908
4,0.0,0.0,7406.25,-17.508277507637928
4,0.0,0.0,7593.75,-14.283258880524704
4,0.0,0.0,8156.25,-13.721222477759
4,0.0,0.0,8812.5,-19.658340344159598
4,0.0,0.0,9187.5,-18.50246264158009
4,0.0,0.0,10265.625,-2.6130851462710716
4,0.0,0.0,10921.875,1.4951838131261914
4,0.0,0.0,11812.5,-0.7161538312092736
4,0.0,0.0,12703.125,-11.02220536251726
4,0.0,0.0,13453.125,-18.89852768025241
4,0.0,0.0,14296.875,-5.99597929059109
4,0.0,0.0,14765.625,-4.696580599022558
4,0.0,0.0,16031.25,-12.979045295530101
4,0.0,0.0,16875.0,-14.422613173258734
4,0.0,0.0,17343.75,-14.278558492904082
4,0.0,0.0,17437.5,-16.112452458868628
4,0.0,0.0,17765.625,-15.63052400115147
4,0.0,0.0,18000.0,-19.363168688002034
4,0.0,0.0,18328.125,-20.952818369144286
4,0.0,0.0,18468.75,-24.241614463631
4,0.0,0.0,18562.5,-31.31839397039018
4,0.0,0.0,18609.375,-32.467053959458255
4,0.0,0.0,18703.125,-27.126635446565825
4,0.0,0.0,18843.75,-27.009509415060712
4,0.0,0.0,18937.5,-32.2213884204048
4,0.0,0.0,19031.25,-42.27757174565989
4,0.0,0.0,19078.125,-40.90927108157309
4,0.0,0.0,19171.875,-39.005251892160814
4,0.0,0.0,19218.75,-41.144495009080536
4,0.0,0.0,19265.625,-46.68741646742051
4,0.0,0.0,19312.5,-59.48252625241785
4,0.0,0.0,19359.375,-46.338853056480666
4,0.0,0.0,19406.25,-41.865086167791155
4,0.0,0.0,19687.5,-35.612981588926594
4,0.0,0.0,19828.125,-34.490330099884375
4,0.0,0.0,19968.75,-39.56569265447075
5,0.0,10.0,0.0,-20.53121392685422
5,0.0,10.0,140.625,-14.155163421951727
5,0.0,10.0,562.5,-10.27945471140664
5,0.0,10.0,750.0,-14.253302471467295
5,0.0,10.0,890.625,-10.879341995485188
5,0.0,10.0,1312.5,-8.895572693653152
5,0.0,10.0,2250.0,-7.737548404807851
5,0.0,10.0,2437.5,-5.226933395312036
5,0.0,10.0,2765.625,-5.222020172439163
5,0.0,10.0,2906.25,-2.1977896782998996
5,0.0,10.0,4500.0,-0.42844279447884687
5,0.0,10.0,5250.0,-4.490645338475083
5,0.0,10.0,6187.5,-6.9519680951633145
5,0.0,10.0,6281.25,-8.878435193688585
5,0.0,10.0,6656.25,-10.829849611073655
5,0.0,10.0,6843.75,-18.91838543776854
5,0.0,10.0,6984.375,-14.616833756539878
5,0.0,10.0,7171.875,-15.618191603118834
5,0.0,10.0,7500.0,-13.646200392967568
5,0.0,10.0,7734.375,-20.864425632228443
5,0.0,10.0,8531.25,-17.072329356202307
5,0.0,10.0,8718.75,-19.45442749875691
5,0.0,10.0,9375.0,-17.649042706720138
5,0.0,10.0,10312.5,-3.91177416976295
5,0.0,10.0,10968.75,-0.13108457993856495
5,0.0,10.0,11625.0,-0.34206588858068404
5,0.0,10.0,13031.25,-14.524592928634645
5,0.0,10.0,13687.5,-20.798784116667164
5,0.0,10.0,13828.125,-16.745469848571958
5,0.0,10.0,14062.5,-14.685573098452629
5,0.0,10.0,14250.0,-9.95753768685001
5,0.0,10.0,14671.875,-6.780042985834002
5,0.0,10.0,15281.25,-10.532484739196185
5,0.0,10.0,15703.125,-13.724144808218085
5,0.0,10.0,16546.875,-13.725108161307343
5,0.0,10.0,16921.875,-12.858783286238982
5,0.0,10.0,17062.5,-15.933550809968715
5,0.0,10.0,17343.75,-14.17157535067774
5,0.0,10.0,17531.25,-19.336589904450072
5,0.0,10.0,17812.5,-16.989834574394113
5,0.0,10.0,18000.0,-22.999428904678997
5,0.0,10.0,18281.25,-20.48412272063738
5,0.0,10.0,18515.625,-27.710655086072347
5,0.0,10.0,18703.125,-25.31498442180076
5,0.0,10.0,18843.75,-27.243187654810313
5,0.0,10.0,19031.25,-38.82667471846451
5,0.0,10.0,19218.75,-34.25122817102932
5,0.0,10.0,19500.0,-37.583548103724965
5,0.0,10.0,19828.125,-35.882577522865
5,0.0,10.0,19968.75,-39.645632571178666
6,0.0,20.0,0.0,-20.88971718661776
6,0.0,20.0,140.625,-14.984783829264034
6,0.0,20.0,421.875,-11.386512555614443
6,0.0,20.0,656.25,-13.70634796766007
6,0.0,20.0,796.875,-11.142955147433685
6,0.0,20.0,984.375,-10.811864601176474
6,0.0,20.0,1171.875,-9.384970912427708
6,0.0,20.0,2015.625,-9.74339284398666
6,0.0,20.0,2203.125,-6.010724113216086
6,0.0,20.0,2390.625,-6.480884966207279
6,0.0,20.0,2578.125,-4.397680325386821
6,0.0,20.0,2953.125,-4.273952244445711
6,0.0,20.0,3796.875,0.49678047357850613
6,0.0,20.0,5250.0,-2.6559070435285057
6,0.0,20.0,6140.625,-7.023217708961406
6,0.0,20.0,6890.625,-9.11631347324027
6,0.0,20.0,7078.125,-17.381359520503867
6,0.0,20.0,7265.625,-15.561706562537378
6,0.0,20.0,7406.25,-23.14689738136085
6,0.0,20.0,7500.0,-17.015659337161846
6,0.0,20.0,7593.75,-14.575750778850914
6,0.0,20.0,7828.125,-18.831074044714722
6,0.0,20.0,8015.625,-17.018714407413665
6,0.0,20.0,8250.0,-24.385450870018133
6,0.0,20.0,8343.75,-22.788629690065857
6,0.0,20.0,8531.25,-23.08257134197374
6,0.0,20.0,9234.375,-20.112992573721595
6,0.0,20.0,9562.5,-15.15924431845904
6,0.0,20.0,9609.375,-15.169578290684704
6,0.0,20.0,10500.0,-3.7635857134499267
6,0.0,20.0,11156.25,-2.2945463612250663
6,0.0,20.0,11812.5,-2.905144443513612
6,0.0,20.0,12656.25,-13.187442877563916
6,0.0,20.0,13218.75,-13.449553515338202
6,0.0,20.0,13828.125,-20.218767985238273
6,0.0,20.0,14531.25,-10.718377673302422
6,0.0,20.0,16125.0,-11.73523484711634
6,0.0,20.0,16921.875,-12.361611416761809
6,0.0,20.0,17531.25,-16.113276348706083
6,0.0,20.0,17578.125,-17.48507198395456
6,0.0,20.0,17906.25,-18.636519855741298
6,0.0,20.0,18000.0,-21.25440429490483
6,0.0,20.0,18281.25,-21.965587358339377
6,0.0,20.0,18468.75,-27.346628708295167
6,0.0,20.0,18703.125,-25.786527848031312
6,0.0,20.0,18937.5,-31.64908549331732
6,0.0,20.0,19078.125,-29.59891817263156
6,0.0,20.0,19265.625,-32.3623928436228
6,0.0,20.0,19734.375,-31.419152962440535
6,0.0,20.0,19875.0,-34.33769522871429
6,0.0,20.0,19968.75,-40.29351696091354
7,0.0,30.0,0.0,-22.21859107256007
7,0.0,30.0,140.625,-15.517570544101295
7,0.0,30.0,281.25,-11.791583579157155
7,0.0,30.0,656.25,-13.673079196998925
7,0.0,30.0,1312.5,-8.668831618011495
7,0.0,30.0,1500.0,-10.079123731254827
7,0.0,30.0,1828.125,-11.544103365429258
7,0.0,30.0,2015.625,-6.69377568897871
7,0.0,30.0,2156.25,-8.265901414004892
7,0.0,30.0,2437.5,-5.566628267541094
7,0.0,30.0,3281.25,-3.847089395111173
7,0.0,30.0,3328.125,-2.6276588848886284
7,0.0,30.0,3609.375,-0.24029924204199213
7,0.0,30.0,5015.625,-1.7614516709085661
7,0.0,30.0,6562.5,-6.997888439384084
7,0.0,30.0,6843.75,-11.82538745514433
7,0.0,30.0,7359.375,-9.696810902229121
7,0.0,30.0,7546.875,-16.17127066168366
7,0.0,30.0,7781.25,-18.75977353052762
7,0.0,30.0,8437.5,-16.40590011200776
7,0.0,30.0,8859.375,-22.696950898249145
7,0.0,30.0,9000.0,-20.408285583490596
7,0.0,30.0,9187.5,-19.815718206081346
7,0.0,30.0,9562.5,-19.719073824855453
7,0.0,30.0,9796.875,-13.589072187866758
7,0.0,30.0,10875.0,-3.485689830857734
7,0.0,30.0,11531.25,-2.7083337702171004
7,0.0,30.0,12562.5,-11.48705098950426
7,0.0,30.0,13218.75,-10.918958479239011
7,0.0,30.0,13968.75,-17.76668640955641
7,0.0,30.0,14203.125,-14.8116042368311
7,0.0,30.0,14859.375,-9.120455471920733
7,0.0,30.0,16593.75,-12.794485503140152
7,0.0,30.0,17343.75,-18.96060160300395
7,0.0,30.0,18281.25,-28.870486883411775
7,0.0,30.0,18750.0,-27.33359468360933
7,0.0,30.0,18937.5,-29.735119068408856
7,0.0,30.0,19359.375,-34.46671928495737
7,0.0,30.0,19828.125,-33.286778586165795
7,0.0,30.0,19968.75,-39.35495702469669
8,0.0,45.0,0.0,-22.759447313165175
8,0.0,45.0,93.75,-17.726976786170518
8,0.0,45.0,234.375,-12.117396316169089
8,0.0,45.0,468.75,-13.167254977537489
8,0.0,45.0,984.375,-11.038502933219048
8,0.0,45.0,1734.375,-10.74746866494232
8,0.0,45.0,2390.625,-6.9157813413544424
8,0.0,45.0,2625.0,-7.519943116609961
8,0.0,45.0,3468.75,-2.468198068986427
8,0.0,45.0,4171.875,-1.4580759024459047
8,0.0,45.0,5062.5,-2.2975667991445583
8,0.0,45.0,6421.875,-6.385572644063103
8,0.0,45.0,7031.25,-9.211916319696792
8,0.0,45.0,7125.0,-8.511469446869748
8,0.0,45.0,7453.125,-13.949176659070153
8,0.0,45.0,7781.25,-10.546341044578815
8,0.0,45.0,8156.25,-17.54826025492669
8,0.0,45.0,8578.125,-14.227668851352655
8,0.0,45.0,9609.375,-17.10212727683224
8,0.0,45.0,9703.125,-16.76778280231771
8,0.0,45.0,10687.5,-4.388847124840872
8,0.0,45.0,11531.25,-1.5160403141162184
8,0.0,45.0,12515.625,-7.9034171978375936
